HScode,TradeValue,Description,hasGain,Tariff before CPTPP,Japan Rate for Canada TPP,ROC Gain - No Export Promotion,BC Gain - no export promotion,AB Gain - no export promotion,SK Gain - no export promotion,MB Gain - no export promotion,Western Canada Gain - no export promotion,Total Canada Gain - no export promotion,ROC Gain %,BC%,AB%,SK%,MB%,Western Canada Gain %,Total Canada Gain %
020629,4395131,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",TRUE,0.2803,1.03,9371,53,19008,,26,19087,28458,297.9,317.6,255,,310,255,268
071310,4434270,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",TRUE,1.4247,1,1138,132,14897,47999,706,63734,64871,1575.3,1674.3,1548,1632.7,1659.5,1613,1612
210410,4469280,Soups and broths and preparations therefor,TRUE,0.077,1,62,634,7,,,641,703,34.2,33.6,34,,,34,34
070959,4588861,"Vegetables; truffles and mushrooms (other than of the genus Agaricus), fresh or chilled",TRUE,0.0365,1.009,,634,0,,0,635,635,0,10.1,10,,10.4,10,10
030312,4614201,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",TRUE,0.035,1,,844,,,,844,844,0,13.6,0,,,14,14
390140,4637899,"Ethylene polymers; in primary forms, ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",TRUE,0.028,1,,,504,,,504,504,0,,20,,,20,20
390690,4671799,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",TRUE,0.0335,1,17,1,,,12,12,29,24.3,24.2,0,,24.3,24,24
811292,4695625,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium; articles thereof, unwrought, including waste and scrap, powders",TRUE,0.0137,1,0,823,,,,823,824,11.9,7.7,0,,,8,8
280300,4782563,Carbon; carbon blacks and other forms of carbon n.e.c.,TRUE,0.039,1,84,,993,,,993,1077,28.5,,27,,,27,27
620293,4939245,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; women's or girls', of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted)",TRUE,0.1095,1,8229,11,,,0,11,8240,112.3,140.7,0,,117.5,140,112
151419,5187196,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",TRUE,0.079,1,20,70,1801,5,262,2138,2157,41.2,41,40,41.2,41.2,40,40
190590,6670764,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",TRUE,0.1778,1.0551,320,1232,201,,18,1451,1771,55.2,55,55,,55.2,55,55
284990,6986643,"Carbides; whether or not chemically defined, other than of calcium or silicon",TRUE,0.025,1,906,198,0,,,198,1104,14.9,16.1,17,,,16,15
030351,7541280,"Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",TRUE,0.06,1,16,652,,,,652,667,25.8,20.8,0,,,21,21
620213,8693215,"Coats; women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted)",TRUE,0.1095,1,745,0,,,,0,745,119.2,141.8,0,,,142,119
282560,9083463,Germanium oxides and zirconium dioxide,TRUE,0.0195,1,,791,,,,791,791,0,9.9,0,,,10,10
410150,9178695,"Hides and skins; raw, whole, of bovine or equine animals, of a weight per skin exceeding 16 kg",TRUE,0.075,1,2483,1,120,,,121,2604,19.3,20.5,20,,,20,19
750890,9233439,Nickel; articles thereof n.e.c. in item no. 7508.1,TRUE,0.03,1,8,,28,,,28,36,24.9,,25,,,25,25
611020,9474729,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of cotton, knitted or crocheted",TRUE,0.103,1,2655,185,,,0,185,2840,120.7,131.9,0,,125.5,132,121
020649,9511804,"Offal, edible; of swine, (other than livers), frozen",TRUE,0.6235,1,52762,1722,28217,,53214,83153,135915,1658.7,1592.1,868,,922.6,911,1104
071333,9749011,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried",TRUE,0.8528,1,7596,3,82,165,245,495,8091,808.9,841.1,829,835.6,836.8,835,810
030391,11177485,"Fish; frozen, livers, roes and milt",TRUE,0.039,1,337,297,,,,297,634,10.1,11.8,0,,,12,11
230990,11507695,"Dog or cat food; (not put up for retail sale), used in animal feeding",TRUE,0.0208,1,170,23,16,,0,39,209,8.6,9.1,10,,8.8,9,9
230910,12558417,"Dog or cat food; put up for retail sale, used in animal feeding",TRUE,0.0093,1,571,15,196,,,211,781,3.7,3.8,4,,,4,4
030389,12928866,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",TRUE,0.0446,1,714,1413,,,,1413,2128,17.5,16.5,0,,,17,17
040900,14277220,Honey; natural,TRUE,0.255,1,1601,317,4638,752,1231,6939,8540,78.8,78.3,68,76,73.7,70,72
350300,14759488,"Gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading no. 3501",TRUE,0.1002,1,12854,0,,,,0,12854,66.3,81.4,0,,,81,66
030214,16560632,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",TRUE,0.035,1,6,870,0,,,870,876,8.9,8.9,9,,,9,9
151411,16900410,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",TRUE,0.0971,1,127,632,270,515,,1417,1543,70.1,70,70,70.4,,70,70
440910,17262529,"Wood; coniferous (including unassembled strips and friezes for parquet flooring), continuously shaped along any edges, ends or faces, whether or not planed, sanded or end-jointed",TRUE,0.0307,1,3,806,1,,,807,810,22.2,21.6,22,,,22,22
392690,17561536,Plastics; other articles n.e.c. in chapter 39,TRUE,0.026,1,1301,79,6,,8,93,1394,18.4,18.5,19,,18.5,18,18
620193,18016630,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; men's or boys', of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)",TRUE,0.1095,1,11910,149,,,0,150,12060,108.9,139.4,0,,121.8,139,109
020621,18143467,"Offal, edible; of bovine animals, tongues, frozen",TRUE,0.128,1,265,8,7357,,,7365,7630,132.4,138.7,70,,,71,72
